"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"United States of America","Women",2003,116.118804030732,114.776581742361,117.466353152658,70.6085120903927,69.6785978115687,71.5169336498073,0.123666226784281,0.102945085322744,0.146642558756166,0.157746726204555,0.133920741335508,0.18375327233577,17824572.7449194,14319057.8144196,21514056.8282127
"United States of America","Women",2004,116.185485017767,114.841735638849,117.597794330698,70.6017324138362,69.6582624897859,71.5387842960019,0.121780444798799,0.10111242659979,0.144479053550399,0.15626582077532,0.13246698905422,0.182321742524138,17847383.1987079,14285433.7821673,21623738.9712888
"United States of America","Women",2005,116.270311228292,114.890853354302,117.712719700522,70.6167547368105,69.6611981236588,71.5892519601019,0.11999588676992,0.0993855607614285,0.142976411527092,0.155024701264577,0.130730688279888,0.181622198989557,17899462.6465044,14258545.0099126,21788694.9307044
"United States of America","Women",2006,116.372951444819,114.951707507866,117.933103360042,70.6559125237853,69.6592239506698,71.6378023052079,0.118319783788618,0.0974298629495652,0.142103374345676,0.154045035913431,0.129437947705411,0.181561763512789,17984879.2687633,14226246.6142306,21994130.6233366
"United States of America","Women",2007,116.48860339547,115.008579261141,118.11285444736,70.7061848405232,69.6585908104474,71.7512737002142,0.116656279005431,0.0953405206238877,0.141322338760324,0.153193419085834,0.127747748946005,0.182325958879843,18086888.0146529,14181282.6442135,22276595.1948058
"United States of America","Women",2008,116.608300918937,114.995364727964,118.345230351506,70.7618414966907,69.6436993010237,71.8677722172107,0.115028101883707,0.0929963880066989,0.140883609650581,0.152459931648237,0.125866211168361,0.183676952316055,18202074.8820632,14140529.9385087,22615842.1335993
"United States of America","Women",2009,116.725208242177,114.961491396385,118.570919478099,70.8225483964785,69.6220006294968,72.0043689219352,0.11349248793681,0.0905512049568346,0.140752152322199,0.151864954519315,0.123769907360036,0.185090655707018,18329573.373192,14077355.0477229,23005546.7344561
"United States of America","Women",2010,116.831573001195,114.895513140325,118.799685803115,70.8781056944194,69.5735138121189,72.2305628422072,0.112014609051088,0.0877501045198847,0.141114096418186,0.151334318654163,0.121254743556783,0.186955434501635,18458173.0859013,13927999.9932204,23452950.4664056
"United States of America","Women",2011,116.934657356709,114.771153397188,119.13962930654,70.9346246005771,69.4606536243742,72.4406821652872,0.110645160433894,0.0851234146874256,0.141903017169349,0.150922274677201,0.118691674117216,0.189071677035008,18593966.2904745,13766677.479647,23954667.2536999
"United States of America","Women",2012,117.02732403723,114.586357192447,119.498679057353,70.9781100869487,69.3283812692839,72.670991326945,0.109285013815099,0.0819400552832938,0.143140851852496,0.150516859328097,0.115944952794399,0.19213161830313,18724253.7408362,13564489.51389,24490704.5393519
"United States of America","Women",2013,117.113952278434,114.358731529682,119.939047093314,71.015818686405,69.1574026961423,72.9093533479955,0.107966167150666,0.0785249589554242,0.144748929045992,0.15016500651628,0.112540329182235,0.195911969108738,18855895.9322972,13325784.3827699,25145019.015096
"United States of America","Women",2014,117.196248784628,114.012503717748,120.454283934811,71.0501452857201,68.9365573903853,73.1763012290357,0.106687460051791,0.0747643790536262,0.147273554810706,0.149876699649061,0.108989699650808,0.199874906494653,18991924.160737,13045330.1673087,25863282.4390245
"United States of America","Women",2015,117.279072549655,113.648339151007,120.989979279837,71.0850548354448,68.6615475809852,73.4910201518329,0.105448344980554,0.0715548804269977,0.14978751885612,0.149656406270187,0.105334385577315,0.204944373113373,19134305.0974844,12741658.9315647,26723160.8399596
